City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chiang Klang,TH,2022-04-04 00:13:58,19.2938,100.8617,68.38,75,24,1.03
68,Troitskoye,RU,2022-04-04 00:13:59,52.9821,84.6757,32.29,93,97,4.97
69,Barrow,US,2022-04-04 00:13:59,71.2906,-156.7887,-5.78,77,0,14.97
70,Saldanha,ZA,2022-04-04 00:13:59,-33.0117,17.9442,59.56,89,0,9.06
71,Klaksvik,FO,2022-04-04 00:13:11,62.2266,-6.589,43.72,97,100,19.39
72,Hithadhoo,MV,2022-04-04 00:11:19,-0.6,73.0833,82.69,69,25,5.08
73,Naples,IT,2022-04-04 00:10:17,40.8333,14.25,48.78,80,40,3.44
74,Pampas,PE,2022-04-04 00:14:00,-12.4,-74.9,49.75,97,90,4.85
75,Bluff,NZ,2022-04-04 00:12:45,-46.6,168.3333,58.3,70,79,9.64
76,Fairview,US,2022-04-04 00:14:01,40.8126,-73.999,45.63,73,75,16.11
77,Teya,RU,2022-04-04 00:14:01,60.3778,92.6267,3.85,99,79,3.53
78,Gezing,AT,2022-04-04 00:14:01,47.9178,13.1299,30.45,80,75,1.14
79,Severo-Kurilsk,RU,2022-04-04 00:14:02,50.6789,156.125,34.03,90,23,9.98
80,Sibiti,CG,2022-04-04 00:14:02,-3.6819,13.3499,70.05,97,73,0.34
81,Cururupu,BR,2022-04-04 00:14:03,-1.8283,-44.8683,75.11,95,81,3.36
82,Sungaipenuh,ID,2022-04-04 00:14:03,-2.0833,101.3833,63.99,81,45,2.37
83,New Norfolk,AU,2022-04-04 00:14:04,-42.7826,147.0587,62.92,71,86,2.37
84,Viedma,AR,2022-04-04 00:14:04,-40.8135,-62.9967,52.5,54,70,7.99
85,Narsaq,GL,2022-04-04 00:12:46,60.9167,-46.05,43.02,86,88,1.41
86,Merauke,ID,2022-04-04 00:14:04,-8.4667,140.3333,82.92,70,35,3.31
87,Kapuskasing,CA,2022-04-04 00:14:05,49.4169,-82.4331,31.68,98,100,5.64
88,Yellowknife,CA,2022-04-04 00:12:18,62.456,-114.3525,26.42,64,99,18.99
89,Fukue,JP,2022-04-04 00:14:06,32.6881,128.8419,56.26,54,0,18.5
90,Tilichiki,RU,2022-04-04 00:14:06,60.4667,166.1,19.4,76,99,5.84
91,Dumas,US,2022-04-04 00:14:06,35.8656,-101.9732,63.54,22,0,17.27
92,Itarantim,BR,2022-04-04 00:15:07,-15.6597,-40.0656,69.66,90,20,3.85
93,Butaritari,KI,2022-04-04 00:13:16,3.0707,172.7902,81.21,72,81,12.62
94,Morris,US,2022-04-04 00:13:03,40.8334,-74.5329,43.21,78,75,10.0
95,Kavaratti,IN,2022-04-04 00:15:08,10.5669,72.642,82.0,71,61,5.82
96,Alofi,NU,2022-04-04 00:15:08,-19.0595,-169.9187,81.21,70,70,9.86
97,Hermanus,ZA,2022-04-04 00:15:09,-34.4187,19.2345,57.79,90,20,4.54
98,Asha,RU,2022-04-04 00:15:09,54.9973,57.2722,37.9,95,87,3.42
99,Chicama,PE,2022-04-04 00:15:10,-7.8447,-79.1469,66.74,76,65,6.96
100,Comodoro Rivadavia,AR,2022-04-04 00:15:10,-45.8667,-67.5,58.86,36,0,21.85
101,Coahuayana,MX,2022-04-04 00:15:11,18.7333,-103.6833,78.53,62,31,5.84
102,Young,UY,2022-04-04 00:15:11,-32.6833,-57.6333,62.91,98,100,5.19
103,Saskylakh,RU,2022-04-04 00:15:12,71.9167,114.0833,-4.81,97,100,11.23
104,Elizabeth City,US,2022-04-04 00:15:12,36.2946,-76.2511,62.62,35,0,11.5
105,Nogliki,RU,2022-04-04 00:15:12,51.8333,143.1667,42.1,72,96,19.53
106,Vaini,TO,2022-04-04 00:11:05,-21.2,-175.2,78.96,89,75,6.91
107,Marigot,MF,2022-04-04 00:15:13,18.0667,-63.0833,78.04,69,1,17.85
108,Viljoenskroon,ZA,2022-04-04 00:15:13,-27.2084,26.9485,61.93,81,100,10.76
109,Ayan,RU,2022-04-04 00:15:14,56.45,138.1667,26.26,93,100,19.73
110,Cayenne,GF,2022-04-04 00:15:14,4.9333,-52.3333,80.1,1,75,5.99
111,Piracuruca,BR,2022-04-04 00:15:15,-3.9281,-41.7092,74.25,94,85,3.47
112,Altay,CN,2022-04-04 00:15:15,47.8667,88.1167,33.76,54,2,8.23
113,Georgetown,MY,2022-04-04 00:14:32,5.4112,100.3354,76.95,94,20,0.0
114,Vostok,RU,2022-04-04 00:15:15,46.4856,135.8833,43.63,66,0,6.89
115,Shawnee,US,2022-04-04 00:15:16,39.05,-95.7669,62.46,77,100,4.61
116,Husavik,IS,2022-04-04 00:15:16,66.0449,-17.3389,27.36,92,100,9.08
117,Zachary,US,2022-04-04 00:15:17,30.6485,-91.1565,78.67,31,0,3.44
118,Roebourne,AU,2022-04-04 00:15:17,-20.7833,117.1333,82.89,63,1,10.33
119,Bismarck,US,2022-04-04 00:11:52,46.8083,-100.7837,39.65,85,100,3.44
