City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Esperance,AU,-33.8667,121.9,66.04,84,91,5.57,light rain
81,Kruisfontein,ZA,-34.0033,24.7314,57.88,83,49,4.94,scattered clouds
82,Butaritari,KI,3.0707,172.7902,81.39,72,97,11.92,overcast clouds
83,Cabo San Lucas,MX,22.8909,-109.9124,74.61,75,68,15.52,broken clouds
84,Coihaique,CL,-45.5752,-72.0662,51.75,58,75,9.22,broken clouds
85,Saskylakh,RU,71.9167,114.0833,-3.91,96,100,11.59,overcast clouds
86,Garden City,US,42.3256,-83.331,44.6,66,100,5.75,overcast clouds
87,Roma,US,43.2128,-75.4557,36.37,93,100,13.0,overcast clouds
88,Clyde River,CA,70.4692,-68.5914,10.63,92,100,5.75,overcast clouds
89,Nikolskoye,RU,59.7035,30.7861,28.8,94,66,3.74,broken clouds
90,Norman Wells,CA,65.282,-126.8329,5.04,51,75,6.91,broken clouds
91,Miraflores,MX,19.2167,-98.8083,77.04,30,52,7.0,broken clouds
92,Nishihara,JP,26.1842,127.7558,67.68,62,0,12.66,clear sky
93,East London,ZA,-33.0153,27.9116,67.91,84,29,7.31,scattered clouds
94,Qaanaaq,GL,77.484,-69.3632,11.35,67,88,7.74,overcast clouds
95,Ilulissat,GL,69.2167,-51.1,24.82,80,32,0.0,scattered clouds
96,Barrow,US,71.2906,-156.7887,-5.78,77,0,14.97,clear sky
97,Avarua,CK,-21.2078,-159.775,75.25,88,75,19.57,light rain
98,Iralaya,HN,15.0,-83.2333,79.05,77,100,9.48,overcast clouds
99,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,20,8.05,few clouds
100,Soyo,AO,-6.1349,12.3689,77.92,90,98,5.12,overcast clouds
101,Gat,IL,31.61,34.7642,70.39,49,0,6.35,clear sky
102,Iqaluit,CA,63.7506,-68.5145,20.93,73,75,11.5,broken clouds
103,Pacific Grove,US,36.6177,-121.9166,68.54,70,0,12.66,clear sky
104,Sao Filipe,CV,14.8961,-24.4956,70.72,74,6,7.09,clear sky
105,Yellowknife,CA,62.456,-114.3525,24.42,62,40,16.11,scattered clouds
106,Port Macquarie,AU,-31.4333,152.9167,75.88,56,19,1.45,few clouds
107,Fortuna Foothills,US,32.6578,-114.4119,83.21,27,0,10.36,clear sky
108,Escuinapa,MX,22.85,-105.8,71.13,72,8,4.83,clear sky
109,Port Lincoln,AU,-34.7333,135.8667,66.74,62,8,6.02,clear sky
110,Thompson,CA,55.7435,-97.8558,39.36,48,75,5.75,broken clouds
111,Solnechnyy,RU,50.7214,136.6319,43.48,74,100,10.02,overcast clouds
112,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,20,4.61,few clouds
113,Georgetown,MY,5.4112,100.3354,78.73,99,20,2.3,few clouds
114,Palamos,ES,41.8484,3.1291,42.44,46,100,11.99,overcast clouds
115,Hithadhoo,MV,-0.6,73.0833,82.8,69,5,4.79,clear sky
116,Portland,US,45.5234,-122.6762,55.98,73,100,10.0,overcast clouds
117,Broken Hill,AU,-31.95,141.4333,67.71,49,0,5.75,clear sky
118,Aksarka,RU,66.5606,67.7975,17.46,94,100,19.95,light snow
119,Tena,EC,-0.9833,-77.8167,70.36,97,86,2.3,overcast clouds
120,Zhanaozen,KZ,43.3,52.8,53.33,66,25,7.23,scattered clouds
121,Santa Isabel,BR,-23.3156,-46.2214,70.9,98,64,2.55,broken clouds
122,Codrington,AU,-38.2667,141.9667,64.15,63,70,7.78,broken clouds
123,Saint George,US,37.1041,-113.5841,73.99,24,75,14.97,broken clouds
124,Novo Aripuana,BR,-5.1206,-60.3797,73.54,98,100,2.57,moderate rain
125,Alta Floresta,BR,-9.8756,-56.0861,72.1,95,100,1.52,overcast clouds
126,Port Blair,IN,11.6667,92.75,80.69,77,99,7.31,overcast clouds
127,Kemijarvi,FI,66.7131,27.4306,13.8,99,97,1.52,light snow
128,Te Anau,NZ,-45.4167,167.7167,67.82,34,27,0.83,scattered clouds
129,Verkhoyansk,RU,67.5447,133.385,4.5,91,100,3.47,overcast clouds
130,Cururupu,BR,-1.8283,-44.8683,75.06,95,93,3.29,overcast clouds
131,Sur,OM,22.5667,59.5289,81.72,35,3,10.6,clear sky
132,Yenagoa,NG,4.9247,6.2642,77.74,90,100,3.8,overcast clouds
133,Port Elizabeth,ZA,-33.918,25.5701,62.31,98,20,6.91,few clouds
134,Bredasdorp,ZA,-34.5322,20.0403,58.71,92,27,3.09,scattered clouds
135,Ust-Tsilma,RU,65.441,52.1498,19.76,96,100,6.46,light snow
136,Olinda,BR,-8.0089,-34.8553,82.13,78,75,9.22,broken clouds
137,Kavieng,PG,-2.5744,150.7967,84.07,68,100,5.21,overcast clouds
138,Escanaba,US,45.7453,-87.0646,35.56,80,0,6.91,clear sky
139,Roros,NO,62.5747,11.3842,21.04,93,100,1.14,overcast clouds
140,Senj,HR,44.9894,14.9058,43.47,75,31,6.96,scattered clouds
