City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Cabo San Lucas,MX,74.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
84,Coihaique,CL,51.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
86,Garden City,US,44.6,overcast clouds,42.3256,-83.331,Big Trees Mobile Home Community
87,Roma,US,36.37,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
88,Clyde River,CA,10.63,overcast clouds,70.4692,-68.5914,Qamaq Hotel
89,Nikolskoye,RU,28.8,broken clouds,59.7035,30.7861,Tourist House - Sablino
91,Miraflores,MX,77.04,broken clouds,19.2167,-98.8083,Hotel Mansión
92,Nishihara,JP,67.68,clear sky,26.1842,127.7558,Minshuku Agaihama
93,East London,ZA,67.91,scattered clouds,-33.0153,27.9116,Tu Casa
94,Qaanaaq,GL,11.35,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
95,Ilulissat,GL,24.82,scattered clouds,69.2167,-51.1,Hotel Arctic
97,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
98,Iralaya,HN,79.05,overcast clouds,15.0,-83.2333,Iglesia morava renovada
99,Nhulunbuy,AU,88.41,few clouds,-12.2333,136.7667,East Arnhem Real Estate
100,Soyo,AO,77.92,overcast clouds,-6.1349,12.3689,Hotel Mpampa
101,Gat,IL,70.39,clear sky,31.61,34.7642,OlusHome
102,Iqaluit,CA,20.93,broken clouds,63.7506,-68.5145,Frobisher Inn
103,Pacific Grove,US,68.54,clear sky,36.6177,-121.9166,Lovers Point Inn
104,Sao Filipe,CV,70.72,clear sky,14.8961,-24.4956,Hotel Xaguate
105,Yellowknife,CA,24.42,scattered clouds,62.456,-114.3525,The Explorer Hotel
106,Port Macquarie,AU,75.88,few clouds,-31.4333,152.9167,Rydges Port Macquarie
107,Fortuna Foothills,US,83.21,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
108,Escuinapa,MX,71.13,clear sky,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
109,Port Lincoln,AU,66.74,clear sky,-34.7333,135.8667,Port Lincoln Hotel
110,Thompson,CA,39.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
111,Solnechnyy,RU,43.48,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
113,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
114,Palamos,ES,42.44,overcast clouds,41.8484,3.1291,Hotel Rosamar
115,Hithadhoo,MV,82.8,clear sky,-0.6,73.0833,Scoop Guest House
116,Portland,US,55.98,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
117,Broken Hill,AU,67.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
119,Tena,EC,70.36,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
